"";"BMA";"BML";"BMI";"BMJ";"BMW";"BMT";"BAM";"BAU";"BGA";"BBA";"UBA";"SRU";"SPD";"CDU";"FDP";"AGV";"BUND";"BBU";"IHT";"IGC";"VCI";"VDB";"VAA";"BGC";"DFG";"GSF";"GDC";"EC";"OECD";"CEF"
"IPU";1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0
"BLAU";0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"AGU";0;0;1;1;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
"DFG.ENV";0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
"DFG.MAK";1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0
"BMA.AGA";1;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0
"BGA.AC";0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
"BMI.ST";1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"BMG.BIO";1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"IMA.CHEM";1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"UBA.AG";0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
"BMT.AC";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0
"OECD.CP";0;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0
"EU.WG";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"EU.COR";0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1
"GDC.OS";0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
"BGC.AC";1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0
"AC.NS";1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CC.OS";1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EU.APP";1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1
