;type3;type5
AA;public;gov
AB;public;gov
AC;public;gov
AD;public;gov
AE;public;gov
AF;public;gov
AG;public;gov
AH;public;gov
AI;public;gov
AJ;public;gov
AK;public;gov
AL;public;gov
AM;public;gov
AN;public;gov
AO;private;private
AP;ngoassoc;ngo
AQ;ngoassoc;ngo
AR;ngoassoc;ngo
AS;ngoassoc;ngo
AT;ngoassoc;ngo
AU;private;private
AV;private;private
AW;private;private
AX;private;private
AY;private;private
AZ;private;private
BA;private;private
BB;private;private
BC;private;private
BD;private;private
BE;private;private
BF;ngoassoc;ngo
BG;public;science
BH;public;gov
BI;public;gov
BJ;public;gov
BK;public;gov
BL;public;gov
