;type3;type5
AA;public;party
AB;public;party
AC;public;party
AD;public;gov
AE;public;gov
AF;public;gov
AG;public;gov
AH;public;gov
AI;public;gov
AJ;public;gov
AK;public;gov
AL;public;gov
AM;public;gov
AN;public;gov
AO;public;gov
AP;public;gov
AQ;public;gov
AR;private;private
AS;private;private
AT;private;private
AU;ngoassoc;ngo
AV;ngoassoc;ngo
AW;ngoassoc;ngo
AX;ngoassoc;ngo
AY;private;private
AZ;ngoassoc;ngo
BA;private;private
BB;private;private
BC;private;private
BD;private;private
BE;private;private
BF;private;private
BG;private;private
BH;private;private
BI;public;party
BJ;public;party
BK;public;party
BL;private;private
