"org","type3","type5","committees","dm","betweenness"
"AA","public","gov",3,1,23.3151914092508
"AB","public","gov",3,1,7.3466464778346
"AC","public","gov",2,0,2.58846214291759
"AD","public","gov",2,1,0.506910031662507
"AE","public","gov",2,1,19.8656733805249
"AF","public","gov",2,1,0.331278182763331
"AG","public","gov",2,1,0.196055319817696
"AH","public","gov",0,1,0
"AI","public","gov",2,0,3.54155745244854
"AJ","public","gov",2,0,0.771956866016272
"AK","public","gov",3,0,2.47917648907748
"AL","public","gov",2,0,7.67917341184668
"AM","public","gov",3,0,0
"AN","public","gov",3,0,3.97685840012573
"AO","private","private",3,0,0.12981298129813
"AP","ngoassoc","ngo",3,0,3.93713657079994
"AQ","ngoassoc","ngo",2,0,3.22542583928723
"AR","ngoassoc","ngo",0,0,0.0429042904290429
"AS","ngoassoc","ngo",0,0,0
"AT","ngoassoc","ngo",2,0,0.0987348734873487
"AU","private","private",0,0,0.726622662266227
"AV","private","private",0,0,0.548994185132799
"AW","private","private",1,0,2.15590130441616
"AX","private","private",0,0,0.0924092409240924
"AY","private","private",0,0,0.231449243825481
"AZ","private","private",0,0,2.93375876049143
"BA","private","private",0,0,2.43920793178219
"BB","private","private",2,0,3.53312419154003
"BC","private","private",0,0,0.968109448307468
"BD","private","private",0,0,2.1025882808061
"BE","private","private",0,0,0.0460842787575461
"BF","ngoassoc","ngo",0,0,3.26035488164201
"BG","public","science",0,0,0
"BH","public","gov",2,1,0.928441470520678
"BI","public","gov",2,0,0
"BJ","public","gov",0,0,0
"BK","public","gov",0,0,0
"BL","public","gov",2,0,0
