"org","type3","type5","committees","dm","betweenness"
"AA","public","party",0,1,0
"AB","public","party",0,1,1.36604407011051
"AC","public","party",0,1,0.771680896244924
"AD","public","gov",0,1,6.09752158074435
"AE","public","gov",8,1,15.2871845290595
"AF","public","gov",4,1,4.38211996525132
"AG","public","gov",0,1,2.92949243011758
"AH","public","gov",0,0,2.17985969667918
"AI","public","gov",0,0,0.397657980266935
"AJ","public","gov",2,0,0.441695701430162
"AK","public","gov",0,0,0
"AL","public","gov",0,0,0
"AM","public","gov",0,0,3.14542980380276
"AN","public","gov",0,0,0
"AO","public","gov",0,0,0.951571846427764
"AP","public","gov",0,1,0
"AQ","public","gov",0,1,0
"AR","private","private",0,0,13.1138757082386
"AS","private","private",0,0,0
"AT","private","private",0,0,6.79893214469899
"AU","ngoassoc","ngo",0,0,0
"AV","ngoassoc","ngo",0,0,0
"AW","ngoassoc","ngo",0,0,2.96792989705185
"AX","ngoassoc","ngo",1,0,3.00203178909418
"AY","private","private",3,0,3.9089201461915
"AZ","ngoassoc","ngo",0,0,2.5417805091681
"BA","private","private",1,0,10.4288688507377
"BB","private","private",4,0,5.26505745063927
"BC","private","private",1,0,1.58991089446881
"BD","private","private",3,0,5.2517309863529
"BE","private","private",0,0,0
"BF","private","private",5,0,0.380651736927041
"BG","private","private",5,0,0.0982497035128614
"BH","private","private",0,0,0
"BI","public","party",0,1,0.945654995462361
"BJ","public","party",0,1,5.2269317502111
"BK","public","party",0,1,0.0184026499815973
"BL","private","private",0,0,0.510812287128077
